week,ID,Demand,Discount_Percentage,lag_1,rolling_mean,upload_date_time,Primary_Category_Alt,Name,price_range_description,Price,Description,Status,Inventory_Level,Reorder_Point,Lead_Time_Days,Supplier,Supplier_Name,Last_Restock_Date,Total_Revenue
45,8022,27,14.34,15.0,43.0,2022-11-13 01:14:53.525169,Kids,Coat,Low,27.34,Coat in Kids category,Available,64,71,14,Supplier_6,S&S Activewear,2022-09-01 01:14:53.525169,632.24
15,2964,84,41.31,27.0,41.75,2021-04-15 01:14:53.525169,Shoes,Bags,High,109.07,Bags in Shoes category,Available,192,48,4,Supplier_1,FashionGo,2021-02-19 01:14:53.525169,5377.01
24,1285,65,9.66,84.0,47.75,2024-06-11 01:14:53.525169,Kids,Jeans,Premium,274.14,Jeans in Kids category,Out of Stock,65,36,3,Supplier_7,Blankstyle,2024-04-16 01:14:53.525169,16097.17
52,5871,24,10.35,65.0,50.0,2023-12-27 01:14:53.525169,Shoes,Shorts,Medium,90.03,Shorts in Shoes category,Out of Stock,280,56,12,Supplier_10,JiffyShirts,2023-10-07 01:14:53.525169,1936.94
7,6485,19,41.3,24.0,48.0,2022-02-20 01:14:53.525169,Kids,Hat,Low,11.79,Hat in Kids category,Available,29,70,7,Supplier_7,Blankstyle,2021-12-25 01:14:53.525169,131.46
32,7016,43,37.21,19.0,37.75,2024-08-07 01:14:53.525169,Kids,Sweater,Medium,69.61,Sweater in Kids category,Out of Stock,261,72,4,Supplier_7,Blankstyle,2024-05-12 01:14:53.525169,1879.51
10,4867,21,43.1,43.0,26.75,2024-03-07 01:14:53.525169,Kids,Jeans,High,150.57,Jeans in Kids category,Out of Stock,157,37,3,Supplier_7,Blankstyle,2023-12-24 01:14:53.525169,1799.05
15,2710,24,37.51,21.0,26.75,2023-04-12 01:14:53.525169,Kids,Sneakers,High,122.02,Sneakers in Kids category,Available,295,69,3,Supplier_5,Royal Apparel,2023-03-23 01:14:53.525169,1830.07
3,7241,76,26.43,24.0,41.0,2022-01-22 01:14:53.525169,Men,Jacket,High,115.85,Jacket in Men category,Available,280,78,6,Supplier_8,TSC Apparel,2021-11-25 01:14:53.525169,6477.82
27,7602,19,7.45,76.0,35.0,2021-07-07 01:14:53.525169,Women,Shorts,Premium,470.77,Shorts in Women category,Out of Stock,19,7,14,Supplier_4,Bella+Canvas,2021-05-03 01:14:53.525169,8278.02
49,6252,124,5.98,19.0,60.75,2023-12-07 01:14:53.525169,Kids,Sweater,High,198.48,Sweater in Kids category,Available,149,9,13,Supplier_4,Bella+Canvas,2023-11-14 01:14:53.525169,23138.4
29,7971,152,46.56,124.0,92.75,2024-07-19 01:14:53.525169,Accessories,Shirt,High,100.27,Shirt in Accessories category,Out of Stock,261,17,9,Supplier_7,Blankstyle,2024-04-21 01:14:53.525169,8144.77
45,1542,13,27.3,152.0,77.0,2022-11-07 01:14:53.525169,Men,Sneakers,High,196.59,Sneakers in Men category,Available,250,20,14,Supplier_3,AlphaBroder,2022-11-07 01:14:53.525169,1857.87
25,7255,120,14.69,13.0,102.25,2023-06-19 01:14:53.525169,Men,Jacket,High,192.2,Jacket in Men category,Available,204,74,13,Supplier_2,Apparel Distribution Center,2023-05-30 01:14:53.525169,19676.2
40,4958,33,47.99,120.0,79.5,2024-10-03 01:14:53.525169,Women,Jacket,Medium,92.98,Jacket in Women category,Available,110,46,6,Supplier_7,Blankstyle,2024-07-29 01:14:53.525169,1595.85
17,9867,57,43.0,33.0,55.75,2021-04-27 01:14:53.525169,Men,Bags,Premium,401.02,Bags in Men category,Available,233,19,9,Supplier_6,S&S Activewear,2021-03-01 01:14:53.525169,13027.97
27,1027,46,24.07,57.0,64.0,2022-07-10 01:14:53.525169,Shoes,Jacket,High,159.42,Jacket in Shoes category,Available,46,29,12,Supplier_5,Royal Apparel,2022-07-03 01:14:53.525169,5568.24
10,3116,79,6.52,46.0,53.75,2022-03-09 01:14:53.525169,Women,Bags,Low,21.51,Bags in Women category,Out of Stock,175,71,12,Supplier_9,Wholesale Fashion Square,2021-12-23 01:14:53.525169,1588.49
45,4654,52,17.77,79.0,58.5,2022-11-09 01:14:53.525169,Accessories,Sneakers,High,133.81,Sneakers in Accessories category,Available,107,32,1,Supplier_3,AlphaBroder,2022-11-01 01:14:53.525169,5721.38
52,8014,67,23.82,52.0,61.0,2022-12-29 01:14:53.525169,Kids,Bags,Medium,46.84,Bags in Kids category,Out of Stock,203,72,4,Supplier_9,Wholesale Fashion Square,2022-10-17 01:14:53.525169,2391.1
3,9757,77,8.72,67.0,68.75,2022-01-19 01:14:53.525169,Men,Dress,High,158.54,Dress in Men category,Available,103,80,6,Supplier_3,AlphaBroder,2021-12-20 01:14:53.525169,11143.31
25,9091,76,24.41,77.0,68.0,2023-06-23 01:14:53.525169,Accessories,Jeans,High,194.74,Jeans in Accessories category,Out of Stock,92,62,7,Supplier_9,Wholesale Fashion Square,2023-06-23 01:14:53.525169,11187.49
16,5624,44,6.0,76.0,66.0,2024-04-20 01:14:53.525169,Women,Jeans,Low,10.11,Jeans in Women category,Available,260,49,10,Supplier_5,Royal Apparel,2024-02-15 01:14:53.525169,418.12
30,4127,10,11.03,44.0,51.75,2021-07-26 01:14:53.525169,Accessories,Coat,Medium,86.67,Coat in Accessories category,Out of Stock,10,68,5,Supplier_3,AlphaBroder,2021-07-06 01:14:53.525169,771.13
9,1469,74,35.88,10.0,51.0,2023-02-28 01:14:53.525169,Women,Jacket,Medium,72.4,Jacket in Women category,Out of Stock,74,15,10,Supplier_2,Apparel Distribution Center,2022-12-01 01:14:53.525169,3435.6
39,7167,120,27.82,74.0,62.0,2022-09-28 01:14:53.525169,Men,Coat,Low,20.79,Coat in Men category,Available,279,9,2,Supplier_1,FashionGo,2022-08-03 01:14:53.525169,1801.12
46,2184,138,24.79,120.0,85.5,2021-11-15 01:14:53.525169,Men,Dress,Medium,79.81,Dress in Men category,Available,259,34,11,Supplier_8,TSC Apparel,2021-08-21 01:14:53.525169,8284.23
13,1973,130,26.76,138.0,115.5,2022-03-28 01:14:53.525169,Shoes,Shirt,Low,8.78,Shirt in Shoes category,Out of Stock,216,67,6,Supplier_9,Wholesale Fashion Square,2022-02-22 01:14:53.525169,836.27
36,3097,25,30.22,130.0,103.25,2024-09-05 01:14:53.525169,Kids,Shirt,High,150.15,Shirt in Kids category,Out of Stock,115,28,12,Supplier_2,Apparel Distribution Center,2024-08-21 01:14:53.525169,2619.42
37,9721,141,18.51,25.0,108.5,2024-09-10 01:14:53.525169,Men,Shorts,High,104.31,Shorts in Men category,Out of Stock,282,33,1,Supplier_2,Apparel Distribution Center,2024-06-27 01:14:53.525169,11984.36
32,4825,70,5.4,141.0,91.5,2023-08-11 01:14:53.525169,Men,Sneakers,Medium,79.05,Sneakers in Men category,Available,205,44,1,Supplier_1,FashionGo,2023-06-15 01:14:53.525169,5234.88
51,2616,78,19.39,70.0,78.5,2023-12-20 01:14:53.525169,Kids,Sweater,Premium,279.94,Sweater in Kids category,Out of Stock,263,71,9,Supplier_5,Royal Apparel,2023-09-28 01:14:53.525169,17601.6
33,8162,7,45.92,78.0,74.0,2023-08-20 01:14:53.525169,Accessories,Coat,Medium,43.45,Coat in Accessories category,Out of Stock,58,69,6,Supplier_8,TSC Apparel,2023-06-26 01:14:53.525169,164.47
47,9545,3,34.03,7.0,39.5,2021-11-28 01:14:53.525169,Accessories,Coat,Premium,380.2,Coat in Accessories category,Out of Stock,49,68,1,Supplier_7,Blankstyle,2021-09-27 01:14:53.525169,752.46
10,6488,37,18.41,3.0,31.25,2022-03-07 01:14:53.525169,Women,Shorts,Low,9.06,Shorts in Women category,Available,291,43,3,Supplier_9,Wholesale Fashion Square,2022-02-15 01:14:53.525169,273.38
21,6940,21,25.86,37.0,17.0,2023-05-23 01:14:53.525169,Accessories,Coat,High,127.74,Coat in Accessories category,Out of Stock,46,75,12,Supplier_4,Bella+Canvas,2023-04-18 01:14:53.525169,1988.7
27,6526,137,42.02,21.0,49.5,2021-07-10 01:14:53.525169,Shoes,Shorts,Premium,341.7,Shorts in Shoes category,Out of Stock,257,67,5,Supplier_6,S&S Activewear,2021-05-29 01:14:53.525169,27144.01
43,5382,47,49.1,137.0,60.5,2024-10-26 01:14:53.525169,Kids,Shirt,High,183.69,Shirt in Kids category,Out of Stock,219,14,12,Supplier_10,JiffyShirts,2024-09-29 01:14:53.525169,4394.51
38,3361,94,17.26,47.0,74.75,2023-09-19 01:14:53.525169,Men,Jeans,Low,8.96,Jeans in Men category,Out of Stock,234,23,5,Supplier_6,S&S Activewear,2023-08-16 01:14:53.525169,697.01
40,7046,55,12.39,94.0,83.25,2021-10-08 01:14:53.525169,Kids,Sweater,Premium,379.74,Sweater in Kids category,Out of Stock,193,77,4,Supplier_6,S&S Activewear,2021-09-15 01:14:53.525169,18297.22
18,1742,46,38.74,55.0,60.5,2022-05-08 01:14:53.525169,Women,Shorts,Low,17.51,Shorts in Women category,Out of Stock,77,68,1,Supplier_4,Bella+Canvas,2022-03-08 01:14:53.525169,493.35
25,4312,79,8.73,46.0,68.5,2024-06-22 01:14:53.525169,Men,Coat,High,105.29,Coat in Men category,Out of Stock,119,24,4,Supplier_7,Blankstyle,2024-04-04 01:14:53.525169,7591.7
32,1945,44,40.91,79.0,56.0,2021-08-15 01:14:53.526160,Shoes,Sneakers,High,163.69,Sneakers in Shoes category,Available,44,38,9,Supplier_6,S&S Activewear,2021-07-10 01:14:53.526160,4256.28
29,3227,17,44.96,44.0,46.5,2021-07-22 01:14:53.526160,Kids,Jacket,Medium,73.29,Jacket in Kids category,Out of Stock,63,64,4,Supplier_4,Bella+Canvas,2021-05-29 01:14:53.526160,685.78
34,3545,126,36.64,17.0,66.5,2023-08-24 01:14:53.526160,Men,Shirt,Low,11.93,Shirt in Men category,Out of Stock,170,6,11,Supplier_4,Bella+Canvas,2023-06-30 01:14:53.526160,952.46
22,2471,149,31.14,126.0,84.0,2024-05-29 01:14:53.526160,Men,Sneakers,High,137.9,Sneakers in Men category,Available,181,62,9,Supplier_1,FashionGo,2024-04-27 01:14:53.526160,14149.36
10,4149,89,48.23,149.0,95.25,2024-03-07 01:14:53.526160,Women,Shorts,Low,12.39,Shorts in Women category,Available,193,35,13,Supplier_5,Royal Apparel,2023-12-17 01:14:53.526160,570.97
27,1596,62,39.57,89.0,106.5,2023-07-06 01:14:53.526160,Women,Shorts,Low,12.24,Shorts in Women category,Out of Stock,94,48,3,Supplier_4,Bella+Canvas,2023-06-21 01:14:53.526160,458.59
15,6767,80,24.88,62.0,95.0,2023-04-11 01:14:53.526160,Men,Coat,High,136.43,Coat in Men category,Available,284,26,15,Supplier_5,Royal Apparel,2023-03-03 01:14:53.526160,8198.74
6,9677,65,44.92,80.0,74.0,2021-02-08 01:14:53.526160,Shoes,Dress,Premium,399.51,Dress in Shoes category,Out of Stock,283,19,9,Supplier_9,Wholesale Fashion Square,2020-11-29 01:14:53.526160,14303.99
44,8392,31,19.98,65.0,59.5,2022-11-05 01:14:53.526160,Women,Coat,High,110.93,Coat in Women category,Available,266,35,8,Supplier_3,AlphaBroder,2022-09-02 01:14:53.526160,2751.63
31,2113,90,37.95,31.0,66.5,2024-07-29 01:14:53.526160,Shoes,Sneakers,Premium,408.86,Sneakers in Shoes category,Available,226,36,4,Supplier_6,S&S Activewear,2024-06-05 01:14:53.526160,22831.24
41,2113,11,8.54,90.0,49.25,2022-10-15 01:14:53.526160,Women,Shirt,Low,27.94,Shirt in Women category,Out of Stock,22,39,15,Supplier_3,AlphaBroder,2022-09-27 01:14:53.526160,281.07
46,2539,142,7.43,11.0,68.5,2020-11-13 01:14:53.526160,Shoes,Shorts,Medium,36.95,Shorts in Shoes category,Out of Stock,142,24,3,Supplier_1,FashionGo,2020-09-29 01:14:53.526160,4857.0
6,2951,116,27.96,142.0,89.75,2022-02-11 01:14:53.526160,Women,Jeans,Medium,30.47,Jeans in Women category,Out of Stock,233,56,6,Supplier_9,Wholesale Fashion Square,2021-12-05 01:14:53.526160,2546.81
48,3067,54,19.02,116.0,80.75,2022-12-04 01:14:53.526160,Shoes,Shirt,Low,17.69,Shirt in Shoes category,Out of Stock,54,36,12,Supplier_3,AlphaBroder,2022-11-25 01:14:53.526160,773.47
22,6430,39,29.73,54.0,87.75,2024-05-29 01:14:53.526160,Women,Shorts,High,169.67,Shorts in Women category,Available,39,17,4,Supplier_8,TSC Apparel,2024-03-03 01:14:53.526160,4650.13
39,6125,77,34.09,39.0,71.5,2023-09-29 01:14:53.526160,Shoes,Jeans,High,171.37,Jeans in Shoes category,Out of Stock,218,18,1,Supplier_6,S&S Activewear,2023-08-02 01:14:53.526160,8697.26
21,3738,47,7.2,77.0,54.25,2022-05-25 01:14:53.526160,Women,Shirt,Medium,84.31,Shirt in Women category,Available,236,15,12,Supplier_6,S&S Activewear,2022-04-09 01:14:53.526160,3676.98
44,2415,66,40.77,47.0,57.25,2024-10-28 01:14:53.526160,Accessories,Shirt,Low,27.69,Shirt in Accessories category,Out of Stock,229,39,15,Supplier_5,Royal Apparel,2024-10-02 01:14:53.526160,1082.49
6,9488,14,34.4,66.0,51.0,2024-02-07 01:14:53.526160,Kids,Coat,Low,13.4,Coat in Kids category,Available,163,22,4,Supplier_1,FashionGo,2023-12-07 01:14:53.526160,123.09
42,7363,0,32.63,14.0,31.75,2024-10-18 01:14:53.526160,Shoes,Coat,Medium,53.36,Coat in Shoes category,Available,11,14,3,Supplier_5,Royal Apparel,2024-08-24 01:14:53.526160,0.0
46,2062,71,33.76,0.0,37.75,2023-11-14 01:14:53.526160,Men,Dress,High,164.47,Dress in Men category,Available,81,68,3,Supplier_1,FashionGo,2023-11-06 01:14:53.526160,7734.99
5,5689,75,39.02,71.0,40.0,2024-01-29 01:14:53.526160,Accessories,Hat,Medium,69.63,Hat in Accessories category,Available,152,40,3,Supplier_6,S&S Activewear,2023-11-06 01:14:53.526160,3184.77
50,7823,79,35.81,75.0,56.25,2020-12-09 01:14:53.526160,Men,Sweater,Low,14.61,Sweater in Men category,Out of Stock,141,7,4,Supplier_8,TSC Apparel,2020-10-18 01:14:53.526160,740.76
43,5149,89,36.49,79.0,78.5,2024-10-27 01:14:53.526160,Kids,Dress,Medium,96.17,Dress in Kids category,Out of Stock,271,41,15,Supplier_4,Bella+Canvas,2024-10-17 01:14:53.526160,5435.73
29,9635,95,23.73,89.0,84.5,2022-07-23 01:14:53.526160,Accessories,Shorts,High,129.21,Shorts in Accessories category,Out of Stock,153,27,3,Supplier_9,Wholesale Fashion Square,2022-05-30 01:14:53.526160,9361.18
31,1816,168,11.97,95.0,107.75,2021-08-07 01:14:53.526160,Kids,Shorts,Medium,79.76,Shorts in Kids category,Out of Stock,168,43,3,Supplier_1,FashionGo,2021-08-03 01:14:53.526160,11794.4
9,9338,13,45.42,168.0,91.25,2023-02-27 01:14:53.526160,Men,Shirt,Medium,95.51,Shirt in Men category,Out of Stock,54,39,13,Supplier_7,Blankstyle,2023-02-10 01:14:53.526160,677.73
15,7687,14,46.45,13.0,72.5,2022-04-17 01:14:53.526160,Accessories,Shirt,Medium,51.33,Shirt in Accessories category,Available,42,58,6,Supplier_7,Blankstyle,2022-02-28 01:14:53.526160,384.77
44,5593,75,16.95,14.0,67.5,2024-10-31 01:14:53.526160,Accessories,Jeans,Medium,71.61,Jeans in Accessories category,Out of Stock,75,38,5,Supplier_2,Apparel Distribution Center,2024-08-15 01:14:53.526160,4460.53
5,8438,13,45.06,75.0,28.75,2022-02-06 01:14:53.526160,Women,Shorts,High,109.49,Shorts in Women category,Out of Stock,169,65,7,Supplier_2,Apparel Distribution Center,2021-11-11 01:14:53.526160,782.05
10,7210,57,49.33,13.0,39.75,2022-03-07 01:14:53.526160,Women,Jeans,Low,11.75,Jeans in Women category,Available,297,7,2,Supplier_6,S&S Activewear,2022-01-13 01:14:53.526160,339.37
17,8104,106,15.39,57.0,62.75,2022-04-27 01:14:53.526160,Accessories,Coat,High,100.93,Coat in Accessories category,Available,282,60,7,Supplier_5,Royal Apparel,2022-02-25 01:14:53.526160,9052.34
14,1993,85,37.94,106.0,65.25,2024-04-04 01:14:53.526160,Women,Shorts,High,165.79,Shorts in Women category,Out of Stock,172,5,9,Supplier_9,Wholesale Fashion Square,2024-02-09 01:14:53.526160,8745.58
25,2980,18,49.85,85.0,66.5,2021-06-25 01:14:53.526160,Men,Sweater,High,106.13,Sweater in Men category,Out of Stock,71,75,12,Supplier_8,TSC Apparel,2021-04-19 01:14:53.526160,958.09
30,6465,93,37.88,18.0,75.5,2021-07-30 01:14:53.526160,Kids,Shirt,High,195.76,Shirt in Kids category,Out of Stock,93,57,9,Supplier_10,JiffyShirts,2021-05-24 01:14:53.526160,11308.38
26,5497,85,34.44,93.0,70.25,2024-06-27 01:14:53.526160,Accessories,Shorts,High,132.17,Shorts in Accessories category,Out of Stock,85,21,5,Supplier_7,Blankstyle,2024-06-13 01:14:53.526160,7364.8
18,9158,109,16.02,85.0,76.25,2022-05-06 01:14:53.526160,Accessories,Shorts,High,137.23,Shorts in Accessories category,Out of Stock,109,6,15,Supplier_10,JiffyShirts,2022-04-14 01:14:53.526160,12560.74
51,3690,59,15.18,109.0,86.5,2020-12-14 01:14:53.526160,Kids,Jacket,Low,5.4,Jacket in Kids category,Available,59,11,12,Supplier_4,Bella+Canvas,2020-10-06 01:14:53.526160,270.1
48,5024,28,26.71,59.0,70.25,2020-11-28 01:14:53.526160,Women,Jacket,Medium,98.25,Jacket in Women category,Out of Stock,214,38,5,Supplier_5,Royal Apparel,2020-09-23 01:14:53.526160,2016.11
49,6653,115,14.1,28.0,77.75,2023-12-05 01:14:53.526160,Kids,Sneakers,Medium,82.77,Sneakers in Kids category,Out of Stock,184,55,15,Supplier_4,Bella+Canvas,2023-10-31 01:14:53.526160,8176.16
9,9460,32,6.91,115.0,58.5,2022-03-03 01:14:53.526160,Shoes,Shorts,Low,24.4,Shorts in Shoes category,Available,136,58,10,Supplier_9,Wholesale Fashion Square,2022-01-14 01:14:53.526160,726.77
22,3286,31,39.37,32.0,51.5,2023-06-01 01:14:53.526160,Kids,Sweater,Low,5.07,Sweater in Kids category,Available,60,35,3,Supplier_2,Apparel Distribution Center,2023-03-24 01:14:53.526160,95.35
2,7649,41,40.48,31.0,54.75,2024-01-11 01:14:53.526160,Men,Jacket,Medium,71.09,Jacket in Men category,Out of Stock,41,13,6,Supplier_8,TSC Apparel,2023-11-05 01:14:53.526160,1734.77
15,7102,79,38.5,41.0,45.75,2023-04-11 01:14:53.526160,Kids,Jacket,High,189.89,Jacket in Kids category,Out of Stock,198,30,8,Supplier_8,TSC Apparel,2023-02-25 01:14:53.526160,9225.67
21,7759,13,30.17,79.0,41.0,2023-05-28 01:14:53.526160,Men,Jeans,High,176.17,Jeans in Men category,Available,16,77,6,Supplier_5,Royal Apparel,2023-05-01 01:14:53.526160,1599.39
19,3176,68,39.91,13.0,50.25,2022-05-13 01:14:53.526160,Men,Sneakers,Premium,492.1,Sneakers in Men category,Out of Stock,143,47,11,Supplier_8,TSC Apparel,2022-05-05 01:14:53.526160,20106.17
49,4867,14,34.86,68.0,43.5,2022-12-05 01:14:53.526160,Women,Bags,High,155.6,Bags in Women category,Available,18,57,4,Supplier_1,FashionGo,2022-11-12 01:14:53.526160,1419.13
1,8636,58,35.74,14.0,38.25,2021-01-05 01:14:53.526160,Women,Jacket,Premium,455.96,Jacket in Women category,Available,207,38,4,Supplier_3,AlphaBroder,2020-11-04 01:14:53.526160,16993.88
16,8990,26,27.59,58.0,41.5,2024-04-21 01:14:53.526160,Accessories,Dress,Low,13.69,Dress in Accessories category,Available,26,10,12,Supplier_8,TSC Apparel,2024-02-25 01:14:53.526160,257.77
31,5703,113,22.96,26.0,52.75,2023-07-31 01:14:53.526160,Women,Sweater,High,135.79,Sweater in Women category,Out of Stock,156,41,15,Supplier_4,Bella+Canvas,2023-05-30 01:14:53.526160,11821.72
19,5467,25,47.85,113.0,55.5,2021-05-14 01:14:53.526160,Shoes,Jeans,Low,22.49,Jeans in Shoes category,Available,172,40,15,Supplier_3,AlphaBroder,2021-03-28 01:14:53.526160,293.17
40,8404,101,18.5,25.0,66.25,2022-10-04 01:14:53.526160,Men,Jeans,Low,23.0,Jeans in Men category,Available,291,73,10,Supplier_10,JiffyShirts,2022-08-10 01:14:53.526160,1892.91
25,9865,39,6.23,101.0,69.5,2024-06-20 01:14:53.526160,Women,Sweater,Medium,83.98,Sweater in Women category,Available,77,29,9,Supplier_6,S&S Activewear,2024-05-14 01:14:53.526160,3071.15
12,3411,0,40.98,39.0,41.25,2021-03-28 01:14:53.526160,Kids,Coat,High,105.74,Coat in Kids category,Available,10,33,8,Supplier_3,AlphaBroder,2021-03-07 01:14:53.526160,0.0
4,8136,53,8.07,0.0,48.25,2021-01-28 01:14:53.526160,Kids,Hat,Premium,262.01,Hat in Kids category,Out of Stock,66,26,5,Supplier_1,FashionGo,2020-11-14 01:14:53.526160,12765.42
29,1089,79,9.57,53.0,42.75,2023-07-18 01:14:53.526160,Men,Hat,High,157.89,Hat in Men category,Out of Stock,93,44,10,Supplier_7,Blankstyle,2023-04-23 01:14:53.526160,11279.79
47,3634,46,37.54,79.0,44.5,2023-11-24 01:14:53.526160,Men,Jeans,Low,26.17,Jeans in Men category,Out of Stock,256,76,1,Supplier_3,AlphaBroder,2023-10-20 01:14:53.526160,751.95
46,3011,113,7.64,46.0,72.75,2022-11-14 01:14:53.526160,Kids,Jeans,Premium,282.2,Jeans in Kids category,Out of Stock,218,67,15,Supplier_3,AlphaBroder,2022-09-10 01:14:53.526160,29451.14
31,9616,22,14.97,113.0,65.0,2021-08-08 01:14:53.527162,Women,Dress,High,134.63,Dress in Women category,Out of Stock,152,29,3,Supplier_5,Royal Apparel,2021-06-13 01:14:53.527162,2518.56
32,4357,62,17.34,22.0,60.75,2021-08-11 01:14:53.527162,Kids,Jeans,Premium,473.73,Jeans in Kids category,Out of Stock,175,75,8,Supplier_10,JiffyShirts,2021-07-06 01:14:53.527162,24279.51
6,1457,76,15.56,62.0,68.25,2023-02-12 01:14:53.527162,Kids,Dress,Low,6.02,Dress in Kids category,Out of Stock,292,54,15,Supplier_2,Apparel Distribution Center,2023-01-23 01:14:53.527162,386.51
39,7235,89,15.03,76.0,62.25,2021-10-02 01:14:53.527162,Accessories,Hat,Medium,47.65,Hat in Accessories category,Available,154,8,5,Supplier_9,Wholesale Fashion Square,2021-07-13 01:14:53.527162,3603.35
24,6298,223,5.22,89.0,112.5,2024-06-16 01:14:53.527162,Kids,Shirt,Low,21.14,Shirt in Kids category,Out of Stock,223,69,5,Supplier_7,Blankstyle,2024-03-27 01:14:53.527162,4469.2
20,6669,63,6.44,223.0,112.75,2021-05-20 01:14:53.527162,Shoes,Shorts,High,176.1,Shorts in Shoes category,Out of Stock,223,41,1,Supplier_5,Royal Apparel,2021-04-17 01:14:53.527162,10380.37
28,6470,16,23.5,63.0,97.75,2024-07-08 01:14:53.527162,Shoes,Sweater,Low,11.81,Sweater in Shoes category,Available,292,44,5,Supplier_10,JiffyShirts,2024-04-15 01:14:53.527162,144.51
21,7167,50,24.81,16.0,88.0,2022-05-27 01:14:53.527162,Men,Sweater,Low,17.75,Sweater in Men category,Available,84,20,2,Supplier_2,Apparel Distribution Center,2022-03-20 01:14:53.527162,667.49
44,9532,81,34.25,50.0,52.5,2022-11-04 01:14:53.527162,Shoes,Shorts,Medium,39.23,Shorts in Shoes category,Available,258,54,4,Supplier_6,S&S Activewear,2022-10-20 01:14:53.527162,2089.18
43,3191,5,39.4,81.0,38.0,2023-10-23 01:14:53.527162,Women,Hat,Low,24.74,Hat in Women category,Out of Stock,18,59,9,Supplier_7,Blankstyle,2023-07-26 01:14:53.527162,74.95
41,5003,75,23.45,5.0,52.75,2021-10-16 01:14:53.527162,Shoes,Hat,Medium,35.98,Hat in Shoes category,Out of Stock,85,13,5,Supplier_2,Apparel Distribution Center,2021-08-11 01:14:53.527162,2065.59
26,6684,196,16.79,75.0,89.25,2023-06-30 01:14:53.527162,Women,Shorts,Low,28.49,Shorts in Women category,Available,278,50,7,Supplier_8,TSC Apparel,2023-05-01 01:14:53.527162,4647.22
24,5598,115,8.35,196.0,97.75,2021-06-14 01:14:53.527162,Kids,Shirt,High,114.55,Shirt in Kids category,Out of Stock,115,36,3,Supplier_1,FashionGo,2021-06-10 01:14:53.527162,12073.99
26,8448,129,36.6,115.0,128.75,2024-06-24 01:14:53.527162,Women,Shorts,Low,15.07,Shorts in Women category,Available,298,40,9,Supplier_9,Wholesale Fashion Square,2024-05-02 01:14:53.527162,1232.81
